InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
10002-8,SKU015,Synthetic retail product,5,2024-06-29,3.77,10002,United Kingdom
10002-8,SKU011,Synthetic retail product,6,2024-06-29,4.47,10002,United Kingdom
10002-9,SKU059,Synthetic retail product,4,2024-03-03,12.34,10002,United Kingdom
10002-9,SKU035,Synthetic retail product,3,2024-03-03,3.14,10002,United Kingdom
10002-9,SKU003,Synthetic retail product,3,2024-03-03,10.01,10002,United Kingdom
10002-10,SKU009,Synthetic retail product,2,2024-06-25,54.27,10002,United Kingdom
10003-0,SKU017,Synthetic retail product,5,2024-06-10,2.04,10003,United Kingdom
10003-0,SKU081,Synthetic retail product,2,2024-06-10,4.81,10003,United Kingdom
10003-0,SKU055,Synthetic retail product,4,2024-06-10,5.49,10003,United Kingdom
10003-1,SKU037,Synthetic retail product,6,2024-04-13,9.04,10003,United Kingdom
10003-2,SKU031,Synthetic retail product,4,2024-07-17,2.75,10003,United Kingdom
10003-3,SKU012,Synthetic retail product,2,2024-08-31,9.8,10003,United Kingdom
10003-3,SKU074,Synthetic retail product,6,2024-08-31,8.89,10003,United Kingdom
10003-3,SKU033,Synthetic retail product,1,2024-08-31,5.9,10003,United Kingdom
10003-4,SKU024,Synthetic retail product,1,2024-12-21,5.1,10003,United Kingdom
10003-5,SKU031,Synthetic retail product,6,2024-07-18,14.08,10003,United Kingdom
10003-5,SKU097,Synthetic retail product,3,2024-07-18,14.96,10003,United Kingdom
10003-6,SKU063,Synthetic retail product,4,2024-08-19,7.95,10003,United Kingdom
10004-0,SKU017,Synthetic retail product,4,2024-12-07,3.68,10004,United Kingdom
10004-1,SKU100,Synthetic retail product,2,2024-01-17,22.79,10004,United Kingdom
10004-1,SKU090,Synthetic retail product,6,2024-01-17,7.56,10004,United Kingdom
10004-1,SKU090,Synthetic retail product,1,2024-01-17,19.08,10004,United Kingdom
10004-2,SKU078,Synthetic retail product,3,2024-07-08,16.76,10004,United Kingdom
10004-3,SKU010,Synthetic retail product,6,2024-08-29,9.2,10004,United Kingdom
10004-3,SKU075,Synthetic retail product,1,2024-08-29,3.36,10004,United Kingdom
10004-3,SKU094,Synthetic retail product,1,2024-08-29,25.04,10004,United Kingdom
10004-4,SKU016,Synthetic retail product,6,2024-02-14,21.11,10004,United Kingdom
10004-4,SKU018,Synthetic retail product,6,2024-02-14,20.36,10004,United Kingdom
10004-4,SKU088,Synthetic retail product,2,2024-02-14,12.41,10004,United Kingdom
10004-5,SKU098,Synthetic retail product,4,2024-04-23,7.34,10004,United Kingdom
10004-6,SKU002,Synthetic retail product,2,2024-07-01,8.66,10004,United Kingdom
10004-6,SKU023,Synthetic retail product,1,2024-07-01,2.15,10004,United Kingdom
10004-6,SKU068,Synthetic retail product,3,2024-07-01,4.72,10004,United Kingdom
10004-7,SKU059,Synthetic retail product,3,2024-07-03,6.57,10004,United Kingdom
10004-7,SKU020,Synthetic retail product,1,2024-07-03,3.45,10004,United Kingdom
10004-7,SKU072,Synthetic retail product,6,2024-07-03,5.96,10004,United Kingdom
10004-8,SKU031,Synthetic retail product,1,2024-02-17,11.59,10004,United Kingdom
10004-8,SKU049,Synthetic retail product,3,2024-02-17,7.39,10004,United Kingdom
10004-8,SKU096,Synthetic retail product,7,2024-02-17,7.06,10004,United Kingdom
10004-9,SKU056,Synthetic retail product,2,2024-12-03,4.04,10004,United Kingdom
10004-9,SKU064,Synthetic retail product,6,2024-12-03,9.47,10004,United Kingdom
10004-10,SKU097,Synthetic retail product,2,2024-02-21,4.69,10004,United Kingdom
10004-11,SKU081,Synthetic retail product,4,2024-08-05,5.56,10004,United Kingdom
10004-11,SKU047,Synthetic retail product,6,2024-08-05,17.88,10004,United Kingdom
10004-11,SKU002,Synthetic retail product,3,2024-08-05,5.34,10004,United Kingdom
10004-12,SKU024,Synthetic retail product,3,2024-10-29,4.09,10004,United Kingdom
10004-12,SKU054,Synthetic retail product,7,2024-10-29,34.37,10004,United Kingdom
10005-0,SKU012,Synthetic retail product,3,2024-04-15,16.95,10005,United Kingdom
10005-0,SKU012,Synthetic retail product,5,2024-04-15,2.61,10005,United Kingdom
10005-1,SKU054,Synthetic retail product,2,2024-04-10,3.54,10005,United Kingdom
10005-1,SKU100,Synthetic retail product,6,2024-04-10,26.95,10005,United Kingdom
10005-2,SKU089,Synthetic retail product,1,2024-12-16,6.43,10005,United Kingdom
10005-3,SKU020,Synthetic retail product,6,2024-05-10,4.3,10005,United Kingdom
10005-4,SKU092,Synthetic retail product,7,2024-12-03,10.83,10005,United Kingdom
10005-5,SKU058,Synthetic retail product,2,2024-02-26,3.34,10005,United Kingdom
10005-6,SKU071,Synthetic retail product,1,2024-07-16,9.5,10005,United Kingdom
10005-7,SKU043,Synthetic retail product,5,2024-10-30,15.77,10005,United Kingdom
10005-8,SKU083,Synthetic retail product,3,2024-10-20,8.45,10005,United Kingdom
10005-8,SKU074,Synthetic retail product,7,2024-10-20,5.11,10005,United Kingdom
10005-9,SKU050,Synthetic retail product,2,2024-07-14,50.86,10005,United Kingdom
10005-10,SKU065,Synthetic retail product,4,2024-03-24,10.49,10005,United Kingdom
10005-11,SKU001,Synthetic retail product,3,2024-04-13,9.68,10005,United Kingdom
10006-0,SKU084,Synthetic retail product,1,2024-02-07,11.16,10006,United Kingdom
10006-1,SKU010,Synthetic retail product,6,2024-01-19,10.97,10006,United Kingdom
10006-1,SKU085,Synthetic retail product,2,2024-01-19,6.01,10006,United Kingdom
10006-1,SKU098,Synthetic retail product,5,2024-01-19,8.45,10006,United Kingdom
10006-2,SKU078,Synthetic retail product,6,2024-10-11,6.93,10006,United Kingdom
10006-2,SKU014,Synthetic retail product,3,2024-10-11,21.25,10006,United Kingdom
10006-3,SKU047,Synthetic retail product,6,2024-07-06,9.16,10006,United Kingdom
10006-3,SKU039,Synthetic retail product,2,2024-07-06,6.41,10006,United Kingdom
10006-3,SKU027,Synthetic retail product,4,2024-07-06,10.11,10006,United Kingdom
10006-4,SKU024,Synthetic retail product,3,2024-06-23,14.32,10006,United Kingdom
10006-4,SKU037,Synthetic retail product,6,2024-06-23,7.85,10006,United Kingdom
10006-5,SKU069,Synthetic retail product,2,2024-04-29,19.01,10006,United Kingdom
10006-6,SKU092,Synthetic retail product,6,2024-04-18,17.55,10006,United Kingdom
10006-6,SKU049,Synthetic retail product,4,2024-04-18,25.37,10006,United Kingdom
10006-6,SKU054,Synthetic retail product,4,2024-04-18,13.99,10006,United Kingdom
10006-7,SKU054,Synthetic retail product,6,2024-08-26,5.19,10006,United Kingdom
10006-7,SKU064,Synthetic retail product,2,2024-08-26,3.8,10006,United Kingdom
10006-8,SKU070,Synthetic retail product,4,2024-09-25,8.55,10006,United Kingdom
10006-8,SKU087,Synthetic retail product,7,2024-09-25,13.3,10006,United Kingdom
10006-9,SKU073,Synthetic retail product,5,2024-08-12,2.94,10006,United Kingdom
10006-9,SKU009,Synthetic retail product,6,2024-08-12,3.81,10006,United Kingdom
10006-10,SKU081,Synthetic retail product,3,2024-02-20,12.36,10006,United Kingdom
10006-11,SKU080,Synthetic retail product,7,2024-08-04,8.34,10006,United Kingdom
10006-11,SKU095,Synthetic retail product,6,2024-08-04,5.28,10006,United Kingdom
10006-11,SKU060,Synthetic retail product,4,2024-08-04,5.34,10006,United Kingdom
10007-0,SKU001,Synthetic retail product,5,2024-02-17,1.84,10007,United Kingdom
10007-0,SKU068,Synthetic retail product,4,2024-02-17,8.56,10007,United Kingdom
10007-1,SKU052,Synthetic retail product,4,2024-12-01,2.14,10007,United Kingdom
10007-1,SKU014,Synthetic retail product,7,2024-12-01,11.99,10007,United Kingdom
10007-1,SKU079,Synthetic retail product,1,2024-12-01,21.31,10007,United Kingdom
10007-2,SKU073,Synthetic retail product,3,2024-06-27,5.63,10007,United Kingdom
10007-2,SKU021,Synthetic retail product,5,2024-06-27,16.35,10007,United Kingdom
10007-3,SKU082,Synthetic retail product,6,2024-09-26,9.73,10007,United Kingdom
10007-3,SKU080,Synthetic retail product,3,2024-09-26,7.42,10007,United Kingdom
10007-3,SKU032,Synthetic retail product,2,2024-09-26,10.48,10007,United Kingdom
10007-4,SKU056,Synthetic retail product,4,2024-02-01,7.53,10007,United Kingdom
10007-4,SKU013,Synthetic retail product,6,2024-02-01,5.04,10007,United Kingdom
10007-4,SKU095,Synthetic retail product,7,2024-02-01,9.31,10007,United Kingdom
10007-5,SKU014,Synthetic retail product,3,2024-08-11,19.37,10007,United Kingdom
10007-5,SKU001,Synthetic retail product,6,2024-08-11,14.11,10007,United Kingdom
10007-6,SKU028,Synthetic retail product,6,2024-06-03,7.15,10007,United Kingdom
10007-7,SKU048,Synthetic retail product,5,2024-02-14,6.06,10007,United Kingdom
10007-8,SKU010,Synthetic retail product,4,2024-07-17,2.88,10007,United Kingdom
10008-0,SKU046,Synthetic retail product,3,2024-04-17,10.87,10008,United Kingdom
10008-0,SKU045,Synthetic retail product,4,2024-04-17,9.77,10008,United Kingdom
10008-0,SKU092,Synthetic retail product,4,2024-04-17,1.82,10008,United Kingdom
10008-1,SKU088,Synthetic retail product,5,2024-02-10,11.01,10008,United Kingdom
10008-2,SKU011,Synthetic retail product,5,2024-04-13,5.31,10008,United Kingdom
10008-3,SKU066,Synthetic retail product,5,2024-12-30,9.48,10008,United Kingdom
10008-4,SKU003,Synthetic retail product,2,2024-02-03,7.27,10008,United Kingdom
10008-4,SKU025,Synthetic retail product,6,2024-02-03,13.92,10008,United Kingdom
10008-4,SKU078,Synthetic retail product,1,2024-02-03,11.46,10008,United Kingdom
10008-5,SKU004,Synthetic retail product,1,2024-11-28,14.0,10008,United Kingdom
10008-5,SKU001,Synthetic retail product,6,2024-11-28,3.52,10008,United Kingdom
10008-5,SKU061,Synthetic retail product,7,2024-11-28,1.79,10008,United Kingdom
10009-0,SKU067,Synthetic retail product,6,2024-03-30,6.79,10009,United Kingdom
10009-1,SKU085,Synthetic retail product,5,2024-02-13,19.36,10009,United Kingdom
10009-1,SKU045,Synthetic retail product,1,2024-02-13,4.95,10009,United Kingdom
10009-1,SKU012,Synthetic retail product,1,2024-02-13,7.66,10009,United Kingdom
10009-2,SKU055,Synthetic retail product,5,2024-07-16,4.74,10009,United Kingdom
10009-2,SKU045,Synthetic retail product,2,2024-07-16,3.12,10009,United Kingdom
10009-2,SKU006,Synthetic retail product,2,2024-07-16,6.47,10009,United Kingdom
10009-3,SKU053,Synthetic retail product,7,2024-02-06,3.33,10009,United Kingdom
10009-3,SKU051,Synthetic retail product,1,2024-02-06,4.15,10009,United Kingdom
10009-3,SKU001,Synthetic retail product,1,2024-02-06,7.5,10009,United Kingdom
10010-0,SKU018,Synthetic retail product,3,2024-09-15,5.77,10010,United Kingdom
10010-0,SKU010,Synthetic retail product,3,2024-09-15,5.34,10010,United Kingdom
10010-1,SKU079,Synthetic retail product,2,2024-12-23,10.11,10010,United Kingdom
10010-1,SKU064,Synthetic retail product,4,2024-12-23,19.27,10010,United Kingdom
10010-2,SKU031,Synthetic retail product,3,2024-02-22,16.34,10010,United Kingdom
10010-2,SKU058,Synthetic retail product,2,2024-02-22,16.85,10010,United Kingdom
10010-3,SKU015,Synthetic retail product,4,2024-08-24,10.24,10010,United Kingdom
10010-4,SKU048,Synthetic retail product,1,2024-07-04,8.54,10010,United Kingdom
10010-4,SKU012,Synthetic retail product,7,2024-07-04,16.44,10010,United Kingdom
10010-4,SKU028,Synthetic retail product,5,2024-07-04,10.14,10010,United Kingdom
10010-5,SKU064,Synthetic retail product,7,2024-06-05,4.75,10010,United Kingdom
10010-5,SKU042,Synthetic retail product,6,2024-06-05,2.12,10010,United Kingdom
10011-0,SKU093,Synthetic retail product,1,2024-08-07,6.75,10011,United Kingdom
10011-1,SKU015,Synthetic retail product,2,2024-06-23,4.37,10011,United Kingdom
10011-1,SKU036,Synthetic retail product,4,2024-06-23,6.27,10011,United Kingdom
10011-2,SKU059,Synthetic retail product,5,2024-07-18,12.21,10011,United Kingdom
10011-2,SKU025,Synthetic retail product,6,2024-07-18,16.31,10011,United Kingdom
10012-0,SKU063,Synthetic retail product,4,2024-06-06,9.44,10012,United Kingdom
10012-0,SKU037,Synthetic retail product,6,2024-06-06,8.67,10012,United Kingdom
10012-1,SKU093,Synthetic retail product,6,2024-09-25,7.31,10012,United Kingdom
10012-2,SKU080,Synthetic retail product,2,2024-07-02,4.7,10012,United Kingdom
10013-0,SKU005,Synthetic retail product,1,2024-05-20,12.59,10013,United Kingdom
10013-0,SKU087,Synthetic retail product,6,2024-05-20,10.36,10013,United Kingdom
10013-1,SKU057,Synthetic retail product,3,2024-01-29,6.68,10013,United Kingdom
10013-2,SKU007,Synthetic retail product,6,2024-09-23,6.57,10013,United Kingdom
10013-3,SKU071,Synthetic retail product,6,2024-06-08,19.82,10013,United Kingdom
10013-3,SKU071,Synthetic retail product,2,2024-06-08,5.12,10013,United Kingdom
10013-3,SKU067,Synthetic retail product,1,2024-06-08,1.19,10013,United Kingdom
10013-4,SKU008,Synthetic retail product,7,2024-07-02,10.83,10013,United Kingdom
10013-4,SKU043,Synthetic retail product,3,2024-07-02,11.05,10013,United Kingdom
10013-4,SKU015,Synthetic retail product,5,2024-07-02,6.73,10013,United Kingdom
10014-0,SKU002,Synthetic retail product,5,2024-08-21,10.22,10014,United Kingdom
10014-0,SKU021,Synthetic retail product,4,2024-08-21,5.22,10014,United Kingdom
10014-1,SKU084,Synthetic retail product,7,2024-02-29,4.35,10014,United Kingdom
10014-1,SKU099,Synthetic retail product,2,2024-02-29,19.46,10014,United Kingdom
10014-2,SKU015,Synthetic retail product,4,2024-11-02,6.12,10014,United Kingdom
10014-2,SKU045,Synthetic retail product,3,2024-11-02,8.89,10014,United Kingdom
10014-3,SKU044,Synthetic retail product,4,2024-01-30,6.45,10014,United Kingdom
10014-4,SKU019,Synthetic retail product,2,2024-06-20,10.96,10014,United Kingdom
10014-5,SKU024,Synthetic retail product,2,2024-11-27,5.75,10014,United Kingdom
10014-5,SKU030,Synthetic retail product,7,2024-11-27,1.72,10014,United Kingdom
10014-6,SKU009,Synthetic retail product,2,2024-08-02,4.77,10014,United Kingdom
10014-7,SKU064,Synthetic retail product,4,2024-03-29,6.93,10014,United Kingdom
10014-7,SKU065,Synthetic retail product,6,2024-03-29,9.32,10014,United Kingdom
10014-7,SKU077,Synthetic retail product,6,2024-03-29,12.93,10014,United Kingdom
10014-8,SKU034,Synthetic retail product,7,2024-05-13,11.73,10014,United Kingdom
10014-8,SKU085,Synthetic retail product,4,2024-05-13,30.66,10014,United Kingdom
10014-8,SKU077,Synthetic retail product,3,2024-05-13,6.69,10014,United Kingdom
10014-9,SKU059,Synthetic retail product,1,2024-07-03,3.64,10014,United Kingdom
10014-10,SKU050,Synthetic retail product,6,2024-11-06,4.58,10014,United Kingdom
10014-10,SKU054,Synthetic retail product,1,2024-11-06,10.15,10014,United Kingdom
10014-11,SKU064,Synthetic retail product,3,2024-05-25,14.66,10014,United Kingdom
10014-11,SKU018,Synthetic retail product,3,2024-05-25,7.36,10014,United Kingdom
10014-12,SKU093,Synthetic retail product,5,2024-03-10,9.23,10014,United Kingdom
10014-12,SKU045,Synthetic retail product,1,2024-03-10,7.81,10014,United Kingdom
10015-0,SKU018,Synthetic retail product,5,2024-05-31,9.24,10015,United Kingdom
10015-1,SKU081,Synthetic retail product,5,2024-09-17,18.38,10015,United Kingdom
10015-1,SKU099,Synthetic retail product,6,2024-09-17,10.34,10015,United Kingdom
10015-1,SKU052,Synthetic retail product,6,2024-09-17,3.85,10015,United Kingdom
10015-2,SKU047,Synthetic retail product,7,2024-08-15,12.99,10015,United Kingdom
10015-2,SKU051,Synthetic retail product,6,2024-08-15,3.8,10015,United Kingdom
10015-2,SKU065,Synthetic retail product,4,2024-08-15,9.52,10015,United Kingdom
10015-3,SKU011,Synthetic retail product,7,2024-06-01,9.6,10015,United Kingdom
10015-3,SKU083,Synthetic retail product,6,2024-06-01,2.79,10015,United Kingdom
10015-3,SKU030,Synthetic retail product,1,2024-06-01,6.2,10015,United Kingdom
10015-4,SKU088,Synthetic retail product,7,2024-12-17,9.56,10015,United Kingdom
10015-4,SKU033,Synthetic retail product,7,2024-12-17,11.42,10015,United Kingdom
10015-5,SKU065,Synthetic retail product,1,2024-01-28,5.43,10015,United Kingdom
10015-5,SKU055,Synthetic retail product,6,2024-01-28,11.61,10015,United Kingdom
10015-5,SKU045,Synthetic retail product,6,2024-01-28,10.93,10015,United Kingdom
10015-6,SKU096,Synthetic retail product,1,2024-01-21,4.17,10015,United Kingdom
10015-6,SKU094,Synthetic retail product,5,2024-01-21,3.24,10015,United Kingdom
10015-7,SKU001,Synthetic retail product,7,2024-08-27,3.55,10015,United Kingdom
10015-7,SKU040,Synthetic retail product,6,2024-08-27,9.56,10015,United Kingdom
10015-7,SKU091,Synthetic retail product,2,2024-08-27,20.97,10015,United Kingdom
10016-0,SKU001,Synthetic retail product,7,2024-11-09,5.46,10016,United Kingdom
10016-0,SKU052,Synthetic retail product,4,2024-11-09,5.77,10016,United Kingdom
10016-1,SKU090,Synthetic retail product,5,2024-01-11,4.15,10016,United Kingdom
10016-1,SKU068,Synthetic retail product,3,2024-01-11,23.27,10016,United Kingdom
10016-1,SKU086,Synthetic retail product,6,2024-01-11,6.28,10016,United Kingdom
10016-2,SKU060,Synthetic retail product,4,2024-11-07,6.78,10016,United Kingdom
10016-2,SKU040,Synthetic retail product,4,2024-11-07,3.96,10016,United Kingdom
10016-2,SKU089,Synthetic retail product,5,2024-11-07,11.48,10016,United Kingdom
10016-3,SKU072,Synthetic retail product,3,2024-01-31,31.01,10016,United Kingdom
10016-3,SKU081,Synthetic retail product,5,2024-01-31,6.56,10016,United Kingdom
10017-0,SKU012,Synthetic retail product,5,2024-07-13,2.65,10017,United Kingdom
10017-1,SKU050,Synthetic retail product,7,2024-01-23,27.14,10017,United Kingdom
10017-1,SKU035,Synthetic retail product,1,2024-01-23,24.15,10017,United Kingdom
10017-2,SKU036,Synthetic retail product,2,2024-01-31,10.05,10017,United Kingdom
10017-3,SKU097,Synthetic retail product,5,2024-04-20,17.96,10017,United Kingdom
10017-3,SKU045,Synthetic retail product,3,2024-04-20,2.72,10017,United Kingdom
10018-0,SKU055,Synthetic retail product,7,2024-10-01,7.74,10018,United Kingdom
10018-0,SKU029,Synthetic retail product,3,2024-10-01,2.86,10018,United Kingdom
10018-1,SKU091,Synthetic retail product,3,2024-03-26,1.54,10018,United Kingdom
10018-1,SKU053,Synthetic retail product,2,2024-03-26,9.75,10018,United Kingdom
10018-1,SKU060,Synthetic retail product,1,2024-03-26,3.47,10018,United Kingdom
10018-2,SKU033,Synthetic retail product,2,2024-04-19,38.42,10018,United Kingdom
10018-3,SKU057,Synthetic retail product,2,2024-02-26,7.33,10018,United Kingdom
10018-4,SKU044,Synthetic retail product,7,2024-10-16,18.42,10018,United Kingdom
10018-4,SKU048,Synthetic retail product,5,2024-10-16,6.15,10018,United Kingdom
10018-5,SKU019,Synthetic retail product,2,2024-09-03,21.63,10018,United Kingdom
10018-5,SKU057,Synthetic retail product,3,2024-09-03,6.2,10018,United Kingdom
10018-6,SKU052,Synthetic retail product,7,2024-08-26,15.16,10018,United Kingdom
10018-6,SKU044,Synthetic retail product,7,2024-08-26,4.77,10018,United Kingdom
10018-6,SKU096,Synthetic retail product,3,2024-08-26,1.81,10018,United Kingdom
10018-7,SKU007,Synthetic retail product,7,2024-01-15,7.17,10018,United Kingdom
10018-7,SKU046,Synthetic retail product,6,2024-01-15,6.96,10018,United Kingdom
10018-8,SKU012,Synthetic retail product,5,2024-04-24,16.15,10018,United Kingdom
10018-8,SKU039,Synthetic retail product,7,2024-04-24,4.52,10018,United Kingdom
10018-8,SKU070,Synthetic retail product,7,2024-04-24,7.07,10018,United Kingdom
10018-9,SKU042,Synthetic retail product,2,2024-04-20,12.89,10018,United Kingdom
10018-10,SKU087,Synthetic retail product,2,2024-01-01,7.12,10018,United Kingdom
10018-10,SKU001,Synthetic retail product,2,2024-01-01,2.96,10018,United Kingdom
10018-11,SKU044,Synthetic retail product,4,2024-06-27,4.2,10018,United Kingdom
10018-11,SKU079,Synthetic retail product,4,2024-06-27,17.0,10018,United Kingdom
10018-12,SKU025,Synthetic retail product,7,2024-04-05,4.48,10018,United Kingdom
10018-12,SKU048,Synthetic retail product,3,2024-04-05,9.81,10018,United Kingdom
10019-0,SKU049,Synthetic retail product,1,2024-03-31,3.94,10019,United Kingdom
10019-0,SKU087,Synthetic retail product,5,2024-03-31,8.48,10019,United Kingdom
10019-0,SKU061,Synthetic retail product,1,2024-03-31,7.23,10019,United Kingdom
10019-1,SKU009,Synthetic retail product,1,2024-01-08,13.54,10019,United Kingdom
10019-1,SKU082,Synthetic retail product,1,2024-01-08,2.85,10019,United Kingdom
10019-1,SKU071,Synthetic retail product,5,2024-01-08,15.66,10019,United Kingdom
10019-2,SKU024,Synthetic retail product,5,2024-02-02,2.44,10019,United Kingdom
10019-2,SKU050,Synthetic retail product,1,2024-02-02,14.95,10019,United Kingdom
10020-0,SKU017,Synthetic retail product,7,2024-08-13,4.57,10020,United Kingdom
10020-0,SKU078,Synthetic retail product,3,2024-08-13,6.72,10020,United Kingdom
10020-1,SKU046,Synthetic retail product,7,2024-04-02,26.06,10020,United Kingdom
10020-1,SKU061,Synthetic retail product,1,2024-04-02,4.49,10020,United Kingdom
10020-2,SKU032,Synthetic retail product,4,2024-05-11,10.89,10020,United Kingdom
10020-3,SKU022,Synthetic retail product,4,2024-10-18,13.21,10020,United Kingdom
10020-4,SKU008,Synthetic retail product,7,2024-05-31,2.56,10020,United Kingdom
10020-4,SKU003,Synthetic retail product,3,2024-05-31,5.69,10020,United Kingdom
10020-4,SKU002,Synthetic retail product,5,2024-05-31,24.37,10020,United Kingdom
10020-5,SKU074,Synthetic retail product,6,2024-09-21,9.64,10020,United Kingdom
10020-6,SKU060,Synthetic retail product,2,2024-04-25,9.32,10020,United Kingdom
10021-0,SKU007,Synthetic retail product,2,2024-09-01,8.49,10021,United Kingdom
10021-0,SKU013,Synthetic retail product,7,2024-09-01,7.9,10021,United Kingdom
10021-0,SKU093,Synthetic retail product,1,2024-09-01,26.27,10021,United Kingdom
10021-1,SKU039,Synthetic retail product,1,2024-07-29,9.6,10021,United Kingdom
10021-1,SKU010,Synthetic retail product,7,2024-07-29,7.16,10021,United Kingdom
10022-0,SKU028,Synthetic retail product,6,2024-08-14,3.62,10022,United Kingdom
10022-1,SKU030,Synthetic retail product,3,2024-01-19,2.56,10022,United Kingdom
10022-2,SKU002,Synthetic retail product,1,2024-08-30,16.26,10022,United Kingdom
10023-0,SKU084,Synthetic retail product,2,2024-11-05,4.71,10023,United Kingdom
10023-0,SKU019,Synthetic retail product,4,2024-11-05,10.22,10023,United Kingdom
10023-0,SKU076,Synthetic retail product,5,2024-11-05,18.85,10023,United Kingdom
10023-1,SKU027,Synthetic retail product,6,2024-10-05,3.64,10023,United Kingdom
10023-1,SKU015,Synthetic retail product,3,2024-10-05,9.4,10023,United Kingdom
10023-2,SKU004,Synthetic retail product,6,2024-12-10,9.63,10023,United Kingdom
10023-3,SKU094,Synthetic retail product,1,2024-06-05,10.0,10023,United Kingdom
10023-3,SKU066,Synthetic retail product,3,2024-06-05,9.57,10023,United Kingdom
10023-4,SKU036,Synthetic retail product,7,2024-06-20,5.97,10023,United Kingdom
10023-5,SKU092,Synthetic retail product,7,2024-09-05,10.04,10023,United Kingdom
